Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay, High_Meaning
262,Industrial Psychology,Bachelors,58100,109500,50%
263,Pharmaceutical Sciences (PS),Bachelors,62000,109200,67%
263,Marketing & Communications,Bachelors,58400,109200,46%
265,Network Security,Bachelors,69900,109100,52%
266,Industrial Design (ID),Bachelors,64600,109000,40%
266,Sales & Marketing,Bachelors,62800,109000,48%
268,Environmental Science & Policy,Bachelors,58800,108800,57%
268,Organizational Behavior,Bachelors,65200,108800,57%
270,Business Data Analysis,Bachelors,74800,108700,38%
271,Physics & Astronomy,Bachelors,67800,108600,32%
272,Philosophy,Bachelors,62700,108400,42%
273,Accounting,Bachelors,64200,108300,42%
273,German Language,Bachelors,60600,108300,43%
273,Comparative Literature,Bachelors,54500,108300,49%
276,Architecture,Bachelors,60000,108100,52%
277,Advertising Design,Bachelors,63200,108000,32%
278,Accounting & Computer Systems,Bachelors,77800,107500,-
278,Financial Accounting,Bachelors,65600,107500,49%
280,Risk Management & Insurance,Bachelors,69700,107400,46%
281,Urban Planning,Bachelors,57600,107300,56%
282,Accounting & Management,Bachelors,63900,107000,55%
282,Cell & Molecular Biology,Bachelors,59800,107000,66%
282,Manufacturing Management,Bachelors,73200,107000,41%
285,Computer & Network Administration,Bachelors,65700,106800,46%
286,Occupational Therapy (OT),Bachelors,63500,106700,86%
287,Manufacturing Engineering Technology,Bachelors,76800,106500,50%
288,Advertising,Bachelors,55100,106400,33%
288,Project Management,Bachelors,66500,106400,56%
290,Organizational Psychology,Bachelors,58100,106300,52%
291,Insurance,Bachelors,66100,106200,51%
292,Labor Studies,Bachelors,55300,106000,50%
293,Applied Computer Science,Bachelors,76500,105900,41%
293,Geology,Bachelors,57800,105900,55%
293,Marketing Management,Bachelors,60900,105900,41%
296,Design,Bachelors,62400,105800,39%
296,Radiation Therapy,Bachelors,78100,105800,91%
296,Strategic Communication,Bachelors,54900,105800,43%
296,Transportation & Logistics Management,Bachelors,67700,105800,48%
300,Electronic Systems Technology (EST),Bachelors,89500,105600,44%
300,Latin American Studies,Bachelors,54900,105600,60%
302,Agronomy,Bachelors,56400,105300,67%
302,Environmental Health,Bachelors,58500,105300,68%
304,Applied Technology,Bachelors,67500,105200,49%
305,Accounting Information Systems,Bachelors,73000,104800,54%
305,Crop Science,Bachelors,56400,104800,56%
305,Microbiology,Bachelors,56800,104800,69%
308,Speech & Drama,Bachelors,47100,104700,-
309,Entrepreneurship,Bachelors,63600,104300,47%
309,Corporate Communications,Bachelors,57300,104300,46%
311,Environmental Design,Bachelors,55600,104200,54%
312,Advertising & Marketing Communications,Bachelors,56800,104100,39%
313,Digital Media Design,Bachelors,53800,104000,27%
313,Hotel Administration,Bachelors,79700,104000,35%
313,Math & Science,Bachelors,65900,104000,66%
316,Aeronautics,Bachelors,72600,103900,62%
317,International Studies,Bachelors,58100,103800,50%
317,Urban & Regional Planning,Bachelors,61700,103800,60%
319,Computer Graphics Technology (CGT),Bachelors,59400,103700,45%
320,Food Science,Bachelors,62500,103400,49%
321,Global Business Management,Bachelors,65700,103100,52%
321,Police Science,Bachelors,63400,103100,-
323,Product Design Engineering,Bachelors,75700,102900,41%
324,Anthropology & English,Bachelors,53100,102700,-
324,Construction Engineering Technology,Bachelors,65700,102700,60%
326,Sociology & Organizational Studies,Bachelors,63800,102500,53%
327,Management & Organization,Bachelors,79500,102400,53%
328,Logistics,Bachelors,67900,102300,41%
329,Information Systems Security,Bachelors,66200,102100,51%
329,International Affairs,Bachelors,60300,102100,51%
331,Biological Sciences,Bachelors,58600,101900,67%
331,Personal Financial Planning,Bachelors,62700,101900,59%
333,Environmental Science,Bachelors,57800,101600,61%
334,Theatre & Drama Studies,Bachelors,54800,101400,50%
335,Cinema Studies,Bachelors,54800,101200,37%
335,Land Surveying,Bachelors,59400,101200,57%
337,Business Communication,Bachelors,60000,100800,47%
338,German Studies,Bachelors,58600,100600,45%
338,New Media Design,Bachelors,64900,100600,28%
340,International Trade & Business,Bachelors,62800,100300,23%
340,Technology,Bachelors,64900,100300,-
340,Textile & Apparel Studies,Bachelors,55000,100300,24%
343,Advertising & Promotion,Bachelors,55100,100200,47%
343,City & Regional Planning,Bachelors,61600,100200,69%
345,Advertising & Marketing,Bachelors,57000,99800,39%
346,Aviation Maintenance Technology,Bachelors,59000,99700,62%
346,English Literature,Bachelors,55600,99700,46%
346,Urban Studies,Bachelors,59500,99700,60%
346,Agricultural Science,Bachelors,55100,99700,51%
350,Management,Bachelors,59800,99600,49%
351,History & Politics,Bachelors,56500,99400,59%
351,Human Biology,Bachelors,59500,99400,72%
353,Automotive Technology,Bachelors,57300,99300,52%
353,Fashion Design,Bachelors,55500,99300,28%
353,Magazine Journalism,Bachelors,56400,99300,38%
356,Textile Technology,Bachelors,62300,99200,39%
356,American History (United States),Bachelors,60700,99200,51%
356,Architectural Technology,Bachelors,57400,99200,60%
359,Organizational Development,Bachelors,62300,99100,57%
360,Business Administration,Bachelors,62100,99000,51%
360,Interior Architecture,Bachelors,55300,99000,49%
360,Journalism & Mass Communication,Bachelors,54500,99000,45%
363,Business Administration & Accounting,Bachelors,61600,98900,54%
364,Environmental & Natural Resource Economics,Bachelors,60600,98800,66%
365,Neuroscience,Bachelors,60900,98700,60%
366,Business Management,Bachelors,60800,98600,52%
367,Computer Aided Drafting & Design (CADD),Bachelors,58000,98400,51%
367,Drama,Bachelors,57300,98400,43%
369,Bachelor in Science Nursing,Bachelors,78500,98300,87%
370,Linguistics,Bachelors,60800,98200,43%
371,Communication,Bachelors,56900,98100,46%
371,Nursing Science,Bachelors,77900,98100,84%
371,Writing,Bachelors,51400,98100,45%
374,French Language,Bachelors,57800,98000,48%
375,Integrated Marketing Communications,Bachelors,55100,97900,37%
376,Architectural Design,Bachelors,52000,97600,57%
377,Logistics Management,Bachelors,67900,97500,38%
377,Natural Sciences,Bachelors,51600,97500,57%
377,Public Affairs,Bachelors,61100,97500,51%
380,Journalism,Bachelors,54200,97400,44%
380,Technical Management,Bachelors,74800,97400,68%
380,General Science,Bachelors,58300,97400,59%
383,French Studies,Bachelors,60700,97300,59%
383,Marketing & Mass Communications,Bachelors,56500,97300,40%
